a: 1102 7.716006 
b: 249 1.743453 
c: 284 1.988517 
d: 554 3.879009 
e: 1676 11.735051 
f: 274 1.918499 
g: 244 1.708444 
h: 963 6.742753 
i: 989 6.924800 
j: 5 0.035009 
k: 127 0.889231 
l: 503 3.521915 
m: 454 3.178826 
n: 916 6.413668 
o: 1144 8.010082 
p: 279 1.953508 
q: 7 0.049013 
r: 964 6.749755 
s: 945 6.616721 
t: 1361 9.529477 
u: 418 2.926761 
v: 134 0.938244 
w: 354 2.478644 
x: 22 0.154040 
y: 303 2.121552 
z: 11 0.077020 


Relative Frequency Histogram
 a ||||||||  7.716
 b ||  1.743
 c ||  1.989
 d ||||  3.879
 e ||||||||||||  11.735
 f ||  1.918
 g ||  1.708
 h |||||||  6.743
 i |||||||  6.925
 j |  0.035
 k |  0.889
 l ||||  3.522
 m ||||  3.179
 n |||||||  6.414
 o |||||||||  8.010
 p ||  1.954
 q |  0.049
 r |||||||  6.750
 s |||||||  6.617
 t ||||||||||  9.529
 u |||  2.927
 v |  0.938
 w |||  2.479
 x |  0.154
 y |||  2.122
 z |  0.077
